date,source,SSH (m)
11/2000,total,0.759057
11/2000,barystatic,0.325446
11/2000,steric,0.433611
11/2000,total,0.690219
11/2000,barystatic,0.305486
11/2000,steric,0.384733
12/2000,total,0.683437
12/2000,barystatic,0.296694
12/2000,steric,0.386743
12/2000,total,0.690517
12/2000,barystatic,0.305818
12/2000,steric,0.384699
01/2001,total,0.591172
01/2001,barystatic,0.244557
01/2001,steric,0.346615
01/2001,total,0.690815
01/2001,barystatic,0.306151
01/2001,steric,0.384664
02/2001,total,0.557367
02/2001,barystatic,0.224948
02/2001,steric,0.332419
02/2001,total,0.691112
02/2001,barystatic,0.306483
02/2001,steric,0.384629
03/2001,total,0.578535
03/2001,barystatic,0.235558
03/2001,steric,0.342977
03/2001,total,0.691410
03/2001,barystatic,0.306815
03/2001,steric,0.384595
04/2001,total,0.601194
04/2001,barystatic,0.239901
04/2001,steric,0.361293
04/2001,total,0.691708
04/2001,barystatic,0.307148
04/2001,steric,0.384560
05/2001,total,0.726589
05/2001,barystatic,0.345722
05/2001,steric,0.380867
05/2001,total,0.692005
05/2001,barystatic,0.307480
05/2001,steric,0.384525
06/2001,total,0.811385
06/2001,barystatic,0.411689
06/2001,steric,0.399696
06/2001,total,0.692303
06/2001,barystatic,0.307813
06/2001,steric,0.384490
07/2001,total,0.835123
07/2001,barystatic,0.415740
07/2001,steric,0.419383
07/2001,total,0.692601
07/2001,barystatic,0.308145
07/2001,steric,0.384456
08/2001,total,0.831718
08/2001,barystatic,0.393466
08/2001,steric,0.438252
08/2001,total,0.692898
08/2001,barystatic,0.308478
08/2001,steric,0.384421
09/2001,total,0.782275
09/2001,barystatic,0.336398
09/2001,steric,0.445877
09/2001,total,0.693196
09/2001,barystatic,0.308810
09/2001,steric,0.384386
10/2001,total,0.785190
10/2001,barystatic,0.333423
10/2001,steric,0.451767
10/2001,total,0.693494
10/2001,barystatic,0.309142
10/2001,steric,0.384351
11/2001,total,0.787741
11/2001,barystatic,0.352012
11/2001,steric,0.435729
11/2001,total,0.693791
11/2001,barystatic,0.309475
11/2001,steric,0.384317
12/2001,total,0.707068
12/2001,barystatic,0.312415
12/2001,steric,0.394653
12/2001,total,0.694089
12/2001,barystatic,0.309807
12/2001,steric,0.384282
01/2002,total,0.545559
01/2002,barystatic,0.188699
01/2002,steric,0.356860
01/2002,total,0.694387
01/2002,barystatic,0.310140
01/2002,steric,0.384247
02/2002,total,0.471113
