Date,Total_Power_Outages,State
05/15/2022 16:00,1373,Minnesota
05/15/2022 16:00,42,Nebraska
05/15/2022 16:00,71,North Dakota
05/15/2022 16:00,3146,South Dakota
05/15/2022 17:00,55,Iowa
05/15/2022 17:00,394,Minnesota
05/15/2022 17:00,14,Nebraska
05/15/2022 17:00,71,North Dakota
05/15/2022 17:00,3308,South Dakota
05/15/2022 18:00,80,Iowa
05/15/2022 18:00,523,Minnesota
05/15/2022 18:00,9,Nebraska
05/15/2022 18:00,72,North Dakota
05/15/2022 18:00,2600,South Dakota
05/15/2022 19:00,81,Iowa
05/15/2022 19:00,1223,Minnesota
05/15/2022 19:00,37,Nebraska
05/15/2022 19:00,72,North Dakota
05/15/2022 19:00,2478,South Dakota
05/15/2022 20:00,2709,Iowa
05/15/2022 20:00,1207,Minnesota
05/15/2022 20:00,11,Nebraska
05/15/2022 20:00,72,North Dakota
05/15/2022 20:00,1731,South Dakota
05/15/2022 21:00,2726,Iowa
05/15/2022 21:00,903,Minnesota
05/15/2022 21:00,6,Nebraska
05/15/2022 21:00,17,North Dakota
05/15/2022 21:00,1409,South Dakota
05/15/2022 22:00,133,Iowa
05/15/2022 22:00,694,Minnesota
05/15/2022 22:00,6,Nebraska
05/15/2022 22:00,18,North Dakota
05/15/2022 22:00,1150,South Dakota
05/15/2022 23:00,302,Iowa
05/15/2022 23:00,260,Minnesota
05/15/2022 23:00,6,Nebraska
05/15/2022 23:00,17,North Dakota
05/15/2022 23:00,1118,South Dakota
05/16/2022 0:00,281,Iowa
05/16/2022 0:00,286,Minnesota
05/16/2022 0:00,5,Nebraska
05/16/2022 0:00,16,North Dakota
05/16/2022 0:00,1025,South Dakota
05/16/2022 1:00,362,Iowa
05/16/2022 1:00,413,Minnesota
