Date,Value,Type
2012-02-01,3.137621491609715,Trend
2012-03-01,3.1369305150200257,Trend
2012-04-01,3.136191884872427,Trend
2012-05-01,3.135477081503783,Trend
2012-06-01,3.1347384513561845,Trend
2012-07-01,3.1340236479875405,Trend
2012-08-01,3.133285017839942,Trend
2012-09-01,3.132546387692343,Trend
2012-10-01,3.1318315843236992,Trend
2012-11-01,3.1310929541761006,Trend
2012-12-01,3.1303781508074566,Trend
2013-01-01,3.1296395206598584,Trend
2013-02-01,3.1289008905122593,Trend
2013-03-01,3.1282337407015253,Trend
2013-04-01,3.1274951105539266,Trend
2013-05-01,3.1267803071852827,Trend
2013-06-01,3.126041677037684,Trend
2013-07-01,3.12532687366904,Trend
2013-08-01,3.1245882435214414,Trend
2013-09-01,3.1238496133738427,Trend
2013-10-01,3.1231348100051988,Trend
2013-11-01,3.1223961798576,Trend
2013-12-01,3.121681376488956,Trend
2014-01-01,3.1209427463413575,Trend
2014-02-01,3.120204116193759,Trend
2014-03-01,3.119536966383025,Trend
2014-04-01,3.118798336235426,Trend
2014-05-01,3.118083532866782,Trend
2014-06-01,3.1173449027191835,Trend
2014-07-01,3.1166300993505396,Trend
2014-08-01,3.115891469202941,Trend
2014-09-01,3.1151528390553422,Trend
2014-10-01,3.1144380356866983,Trend
2014-11-01,3.1136994055390996,Trend
2014-12-01,3.1129846021704557,Trend
2015-01-01,3.112245972022857,Trend
2015-02-01,3.1115073418752583,Trend
2015-03-01,3.1108401920645243,Trend
2015-04-01,3.1101015619169257,Trend
2015-05-01,3.1093867585482817,Trend
2015-06-01,3.108648128400683,Trend
2015-07-01,3.107933325032039,Trend
2015-08-01,3.1071946948844404,Trend
2015-09-01,3.1064560647368418,Trend
2015-10-01,3.105741261368198,Trend
2015-11-01,3.105002631220599,Trend
2015-12-01,3.1042878278519552,Trend
2016-01-01,3.1035491977043566,Trend
2016-02-01,3.102810567556758,Trend
2016-03-01,3.1021195909670687,Trend
2016-04-01,3.10138096081947,Trend
2016-05-01,3.100666157450826,Trend
2016-06-01,3.0999275273032274,Trend
2016-07-01,3.099212723934584,Trend
2016-08-01,3.0984740937869852,Trend
2016-09-01,3.0977354636393866,Trend
2016-10-01,3.0970206602707426,Trend
2016-11-01,3.096282030123144,Trend
2016-12-01,3.0955672267545,Trend
2017-01-01,3.0948285966069013,Trend
2017-02-01,3.0940899664593027,Trend
2017-03-01,3.093422816648568,Trend
2017-04-01,3.0926841865009695,Trend
2017-05-01,3.0919693831323256,Trend
2017-06-01,3.091230752984727,Trend
2017-07-01,3.090515949616083,Trend
2017-08-01,3.0897773194684843,Trend
2017-09-01,3.0890386893208857,Trend
2017-10-01,3.088323885952242,Trend
2017-11-01,3.0875852558046435,Trend
